Season,Race,DriverID,FastestPracticeLap,AvgPracticeLap,Q1Time,Q2Time,Q3Time,QualiGridPos,RaceGridPos,RacePosition
2021,Italian Grand Prix,hamilton,80.926,93.6618913,80.543,79.936,79.651,2,4,17
2021,Italian Grand Prix,mick_schumacher,83.551,92.6834359,82.248,,,18,18,15
2021,Italian Grand Prix,sainz,81.914,95.59620588,81.118,80.75,80.462,7,6,6
2021,Italian Grand Prix,russell,83.092,93.19339583,81.89,81.392,,15,14,9
2021,Italian Grand Prix,bottas,81.451,94.14482979,80.685,80.032,79.555,1,19,3
2021,Italian Grand Prix,kubica,83.009,96.90239216,82.53,,,19,17,14
2021,Italian Grand Prix,giovinazzi,82.27,93.764,81.197,80.726,80.808,10,7,13
2021,Russian Grand Prix,ricciardo,95.63,111.2529259,108.345,106.361,104.156,5,5,4
2021,Russian Grand Prix,norris,94.154,111.3892857,107.238,105.827,101.993,1,1,7
2021,Russian Grand Prix,vettel,94.837,106.1006571,107.205,106.573,,11,10,12
2021,Russian Grand Prix,latifi,95.411,110.285129,108.252,,,14,18,19
2021,Russian Grand Prix,raikkonen,95.052,109.9904063,109.586,,,16,13,8
2021,Russian Grand Prix,mazepin,96.099,111.8390968,113.764,,,19,15,18
2021,Russian Grand Prix,gasly,93.845,111.9920833,107.828,106.641,,12,11,13
2021,Russian Grand Prix,perez,94.938,106.9867353,106.455,105.834,105.337,9,8,9
2021,Russian Grand Prix,alonso,94.762,112.4176667,107.877,105.514,104.204,6,6,6
2021,Russian Grand Prix,leclerc,94.925,107.6314412,108.47,,,15,19,15
2021,Russian Grand Prix,stroll,95.334,105.4909355,108.322,106.36,104.956,8,7,11
2021,Russian Grand Prix,tsunoda,95.954,111.11295,108.854,106.751,,13,12,17
2021,Russian Grand Prix,ocon,94.402,107.6332432,108.099,106.07,105.865,10,9,14
2021,Russian Grand Prix,max_verstappen,94.621,107.7654583,,,,20,20,2
2021,Russian Grand Prix,hamilton,93.637,106.5344516,105.992,105.129,104.05,4,4,1
2021,Russian Grand Prix,mick_schumacher,96.23,111.1432571,109.83,,,17,14,20
2021,Russian Grand Prix,sainz,94.678,110.2971111,107.924,106.521,102.51,2,2,3
2021,Russian Grand Prix,russell,95.094,111.7105625,108.303,106.435,102.983,3,3,10
2021,Russian Grand Prix,bottas,93.593,107.5715,106.396,105.306,104.71,7,16,5
2021,Russian Grand Prix,giovinazzi,95.178,112.5178077,111.023,,,18,17,16
