Season,Race,DriverID,FastestPracticeLap,AvgPracticeLap,Q1Time,Q2Time,Q3Time,QualiGridPos,RaceGridPos,RacePosition
2021,Hungarian Grand Prix,perez,77.824,97.05928260869564,77.233,76.443,76.421,4.0,4.0,17.0
2021,Hungarian Grand Prix,alonso,77.992,93.83398305084744,77.123,76.541,76.715,9.0,9.0,4.0
2021,Hungarian Grand Prix,leclerc,77.52,96.82856896551723,77.084,76.574,76.496,7.0,7.0,18.0
2021,Hungarian Grand Prix,stroll,78.05,92.09586666666668,77.038,76.893,,12.0,12.0,19.0
2021,Hungarian Grand Prix,tsunoda,78.461,98.41133333333332,77.919,,,16.0,16.0,6.0
2021,Hungarian Grand Prix,ocon,77.759,99.33020967741936,77.367,76.766,76.653,8.0,8.0,1.0
2021,Hungarian Grand Prix,max_verstappen,76.914,95.7151224489796,76.214,75.65,75.84,3.0,3.0,9.0
2021,Hungarian Grand Prix,hamilton,76.826,95.50220689655173,76.424,76.553,75.419,1.0,1.0,2.0
2021,Hungarian Grand Prix,mick_schumacher,79.406,94.79579661016948,,,,20.0,20.0,12.0
2021,Hungarian Grand Prix,sainz,77.497,97.24455737704918,76.649,,,15.0,15.0,3.0
2021,Hungarian Grand Prix,russell,78.794,96.43543636363636,77.944,,,17.0,17.0,8.0
2021,Hungarian Grand Prix,bottas,77.012,94.73760344827586,76.569,76.702,75.734,2.0,2.0,16.0
2021,Hungarian Grand Prix,,80.639,98.07385,,,,,,
2021,Hungarian Grand Prix,giovinazzi,79.113,99.988075,77.776,77.583,,14.0,20.0,13.0
2021,Hungarian Grand Prix,raikkonen,78.683,96.1742,77.553,77.564,,13.0,13.0,10.0
2021,Belgian Grand Prix,ricciardo,106.118,121.84784848484848,121.583,117.127,120.864,4.0,4.0,4.0
2021,Belgian Grand Prix,norris,105.386,120.46482857142858,118.301,116.025,,10.0,15.0,14.0
2021,Belgian Grand Prix,vettel,105.336,121.85710810810812,120.175,116.814,120.935,5.0,5.0,5.0
2021,Belgian Grand Prix,latifi,106.198,120.90984848484848,120.966,118.056,,12.0,10.0,9.0
2021,Belgian Grand Prix,raikkonen,105.967,117.37239130434784,124.452,,,19.0,20.0,18.0
2021,Belgian Grand Prix,mazepin,107.335,126.25044736842104,124.939,,,20.0,18.0,17.0
2021,Belgian Grand Prix,gasly,104.965,122.51005555555555,120.387,116.44,121.164,6.0,6.0,6.0
2021,Belgian Grand Prix,perez,105.404,123.1230344827586,119.334,116.886,122.112,7.0,7.0,19.0
2021,Belgian Grand Prix,alonso,104.953,121.9700303030303,121.653,118.205,,14.0,12.0,11.0
2021,Belgian Grand Prix,leclerc,105.818,122.6123870967742,120.728,117.721,,11.0,9.0,8.0
2021,Belgian Grand Prix,stroll,105.18,124.92692105263158,121.597,118.231,,15.0,19.0,20.0
2021,Belgian Grand Prix,tsunoda,105.758,123.522,122.413,,,17.0,16.0,15.0
2021,Belgian Grand Prix,ocon,105.302,122.30227586206895,121.824,117.354,123.513,9.0,8.0,7.0
